Method,model,mode,Character Consistency(CRef)_rank,Style Consistency(SRef)_rank,Prompt Alignment_rank,Generative Quality_rank,Diversity_rank,overall_rank,model_key
Storyadapter,(Img ref)(scale0),0.4619,5.5,3.5,5.0,3.0,6.0,1.0,Storyadapter - (Img ref)(scale0)
UNO (many2many version),base,0.408,1.0,2.0,3.0,4.0,10.0,2.0,UNO (many2many version) - base
base,base,0.7279,4.0,1.0,9.0,10.0,1.0,3.0,base - base
Movieagent,SD-3 version,0.3089,7.0,9.0,1.0,1.0,9.0,4.0,Movieagent - SD-3 version
Storydiffusion,(Img ref) (photomaker),0.3511,5.5,7.5,4.0,7.0,4.0,5.0,Storydiffusion - (Img ref) (photomaker)
Animdirector,base,0.2983,2.5,7.5,2.0,5.0,11.0,6.0,Animdirector - base
Storygen,Mix,0.2875,8.0,3.5,7.5,9.0,2.0,7.0,Storygen - Mix
MM-StoryAgent,base,0.2528,2.5,5.0,7.5,8.0,8.0,8.0,MM-StoryAgent - base
Vlogger,text only,0.2141,10.0,10.5,6.0,6.0,3.0,9.0,Vlogger - text only
Theatergen,base,0.1989,9.0,10.5,10.0,2.0,7.0,10.0,Theatergen - base
Seedstory(AR) ,base,0.2334,11.0,6.0,11.0,11.0,5.0,11.0,Seedstory(AR)  - base
